Device ID,time_stamp,kWh,Power,Cumul kWh,,Device ID,time_stamp,kWh,Power,Cumul kWh,,kWh Sum,W Sum
522,2016-03-25 09:00:00-07:00,0.00695792,6.95792,0.00695792,,523,2016-03-25 09:00:00-07:00,0.01082903,10.82903,0.01082903,,0.01778695,17.78695
522,2016-03-25 10:00:00-07:00,0.02679528,26.79528,0.0337532,,523,2016-03-25 10:00:00-07:00,0.05135569,51.35569,0.06218472,,0.07815097,78.15097
522,2016-03-25 11:00:00-07:00,0.0278851,27.8851,0.0616383,,523,2016-03-25 11:00:00-07:00,0.05063556,50.63556,0.11282028,,0.07852066,78.52066
522,2016-03-25 12:00:00-07:00,0.02913355,29.13355,0.09077185,,523,2016-03-25 12:00:00-07:00,0.05125399,51.25399,0.16407427,,0.08038754,80.38754
522,2016-03-25 13:00:00-07:00,0.0446269,44.6269,0.13539875,,523,2016-03-25 13:00:00-07:00,0.05183208,51.83208,0.21590635,,0.09645898,96.45898
522,2016-03-25 14:00:00-07:00,0.04733726,47.33726,0.18273601,,523,2016-03-25 14:00:00-07:00,0.05075145,50.75145,0.2666578,,0.09808871,98.08871
522,2016-03-25 15:00:00-07:00,0.04298157,42.98157,0.22571758,,523,2016-03-25 15:00:00-07:00,0.05068579,50.68579,0.31734359,,0.09366736,93.66736
522,2016-03-25 16:00:00-07:00,0.02840619,28.40619,0.25412377,,523,2016-03-25 16:00:00-07:00,0.050952,50.952,0.36829559,,0.07935819,79.35819
522,2016-03-25 17:00:00-07:00,0.02972752,29.72752,0.28385129,,523,2016-03-25 17:00:00-07:00,0.05070624,50.70624,0.41900183,,0.08043376,80.43376
522,2016-03-25 18:00:00-07:00,0.02777149,27.77149,0.31162278,,523,2016-03-25 18:00:00-07:00,0.05229694,52.29694,0.47129877,,0.08006843,80.06843
522,2016-03-25 19:00:00-07:00,0.02733621,27.33621,0.33895899,,523,2016-03-25 19:00:00-07:00,0.05240922,52.40922,0.52370799,,0.07974543,79.74543
522,2016-03-25 20:00:00-07:00,0.0296111,29.6111,0.36857009,,523,2016-03-25 20:00:00-07:00,0.05295921,52.95921,0.5766672,,0.08257031,82.57031
522,2016-03-25 21:00:00-07:00,0.02991704,29.91704,0.39848713,,523,2016-03-25 21:00:00-07:00,0.05294325,52.94325,0.62961045,,0.08286029,82.86029
522,2016-03-25 22:00:00-07:00,0.03904648,39.04648,0.43753361,,523,2016-03-25 22:00:00-07:00,0.05262777,52.62777,0.68223822,,0.09167425,91.67425
522,2016-03-25 23:00:00-07:00,0.02715357,27.15357,0.46468718,,523,2016-03-25 23:00:00-07:00,0.05234018,52.34018,0.7345784,,0.07949375,79.49375
522,2016-03-26 00:00:00-07:00,0.02683683,26.83683,0.49152401,,523,2016-03-26 00:00:00-07:00,0.0531101,53.1101,0.7876885,,0.07994693,79.94693
522,2016-03-26 01:00:00-07:00,0.02692103,26.92103,0.51844504,,523,2016-03-26 01:00:00-07:00,0.05305513,53.05513,0.84074363,,0.07997616,79.97616
522,2016-03-26 02:00:00-07:00,0.02692842,26.92842,0.54537346,,523,2016-03-26 02:00:00-07:00,0.05292959,52.92959,0.89367322,,0.07985801,79.85801
522,2016-03-26 03:00:00-07:00,0.02682972,26.82972,0.57220318,,523,2016-03-26 03:00:00-07:00,0.0528632,52.8632,0.94653642,,0.07969292,79.69292
522,2016-03-26 04:00:00-07:00,0.02686195,26.86195,0.59906513,,523,2016-03-26 04:00:00-07:00,0.0532616,53.2616,0.99979802,,0.08012355,80.12355
522,2016-03-26 05:00:00-07:00,0.03241221,32.41221,0.63147734,,523,2016-03-26 05:00:00-07:00,0.05331766,53.31766,1.05311568,,0.08572987,85.72987
